" in your cart."," in your cart."
" item"," item"
" items"," items"
" to your shopping cart."," to your shopping cart."
"Add to Cart","Add to Cart"
"'Add to Cart' Button Selector","'Add to Cart' Button Selector"
"Cart Subtotal: ","Cart Subtotal: "
"Choose Suggested Products","Choose Suggested Products"
"Choose 'yes' to enable module in product view.","Choose 'yes' to enable module in product view."
"Choose 'yes' to enable module.","Choose 'yes' to enable module."
"Color of Text on Buttons","Color of Text on Buttons"
"Continue button","Continue button"
"'Continue' Button Color","'Continue' Button Color"
"'Continue' Button Color on Hover","'Continue' Button Color on Hover"
"Countdown time for Button","Countdown time for Button"
"Countdown time: ...(s)","Countdown time: ...(s)"
"Cross-Sell Products","Cross-Sell Products"
"Enabled","Enabled"
"Enabled Function in Product Page","Enabled Function in Product Page"
"General Options","General Options"
"Go to checkout","Go to checkout"
"Go to Product","Go to Product"
"Image Size (px)","Image Size (px)"
"In stock","In stock"
"Magento default: '.action.tocart'. Change selector of 'Add to Cart' button according to theme/site.","Magento default: '.action.tocart'. Change selector of 'Add to Cart' button according to theme/site."
"Number of Suggested Products","Number of Suggested Products"
"Out of stock","Out of stock"
"Quick View Popup Setting","Quick View Popup Setting"
"Related Products","Related Products"
"Shopping Cart","Shopping Cart"
"Show Additional Data","Show Additional Data"
"Show Cart Quantity and Cart Subtotal","Show Cart Quantity and Cart Subtotal"
"Show 'Continue' Button","Show 'Continue' Button"
"Show 'Go to Checkout' link","Show 'Go to Checkout' link"
"Show 'Go to Product' link","Show 'Go to Product' link"
"Show Product Image","Show Product Image"
"Show Product Price","Show Product Price"
"Show Suggested Products","Show Suggested Products"
"Success Popup Design","Success Popup Design"
"Success Popup Setting","Success Popup Setting"
"Text of 'Continue' Button","Text of 'Continue' Button"
"Text of 'View Cart' Button","Text of 'View Cart' Button"
"There are ","There are "
"There is ","There is "
"Title of Suggested Products Block","Title of Suggested Products Block"
"Up-Sell Products","Up-Sell Products"
"View Cart button","View Cart button"
"'View Cart' Button Color","'View Cart' Button Color"
"'View Cart' Button Color on Hover","'View Cart' Button Color on Hover"
"You added ","You added "
